"ADDRESSFACTORY DIRECT is a service of Deutsche Post Direkt for validating address data.","ADDRESSFACTORY DIRECT is a service of Deutsche Post Direkt for validating address data."
"Address Information","Address Information"
"Address corrected","Address corrected"
"Address not valid","Address not valid"
"Address validation can be performed either manually or automatically after the order was placed.","Address validation can be performed either manually or automatically after the order was placed."
"Addressfactory Direct Settings","Addressfactory Direct Settings"
"Analysis failed","Analysis failed"
"Analysis on Order placement","Analysis on Order placement"
"Analysis result with order address id %1 does not exist.","Analysis result with order address id %1 does not exist."
"Analysis status with order id %1 does not exist.","Analysis status with order id %1 does not exist."
"Analysis via Cron","Analysis via Cron"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Authentication error.","Authentication error."
"Auto-Correct Address","Auto-Correct Address"
"Automatic Address Analysis","Automatic Address Analysis"
"Automatically Cancel","Automatically Cancel"
"Automatically Put on Hold","Automatically Put on Hold"
"Automatically Update Shipping Address","Automatically Update Shipping Address"
"Automatically cancel undeliverable orders.","Automatically cancel undeliverable orders."
"Automatically put on hold orders that are undeliverable, possibly deliverable, or that failed analysis.","Automatically put on hold orders that are undeliverable, possibly deliverable, or that failed analysis."
"Automatically update order shipping addresses with ADDRESSFACTORY suggestions.","Automatically update order shipping addresses with ADDRESSFACTORY suggestions."
"Basis for this check is the postal reference file from Deutsche Post Direkt.","Basis for this check is the postal reference file from Deutsche Post Direkt."
"Bulk receiver name","Bulk receiver name"
"Bulk recipient address","Bulk recipient address"
"Cancel Order","Cancel Order"
"Check Shipping Address","Check Shipping Address"
"Check and Autocorrect Shipping Address","Check and Autocorrect Shipping Address"
City,City
"City addition","City addition"
"Configuration Name","Configuration Name"
"Correction Recommended","Correction Recommended"
"Correction recommended","Correction recommended"
"Could not perform ADDRESSFACTORY DIRECT analysis for Order","Could not perform ADDRESSFACTORY DIRECT analysis for Order"
"Could not save analysis result.","Could not save analysis result."
"Could not update Order address with ADDRESSFACTORY DIRECT suggestion","Could not update Order address with ADDRESSFACTORY DIRECT suggestion"
Country,Country
Deliverable,Deliverable
Enabled,Enabled
"Enter the name of the desired synchronization configuration that you have received from Deutsche Post Direkt.","Enter the name of the desired synchronization configuration that you have received from Deutsche Post Direkt."
Errors,Errors
Everything,Everything
"House address","House address"
"House number","House number"
Household,Household
"If you do not have an account yet or your account is not enabled for ADDRESSFACTORY DIRECT, please use the %1Deutsche Post Direkt website%2 to use our address solutions.","If you do not have an account yet or your account is not enabled for ADDRESSFACTORY DIRECT, please use the %1Deutsche Post Direkt website%2 to use our address solutions."
"If you want to assign the API requests of this module to a specific client, enter the username of the client here.","If you want to assign the API requests of this module to a specific client, enter the username of the client here."
"Log Level","Log Level"
Logging,Logging
"Mandate Name","Mandate Name"
"Manually Edit Address","Manually Edit Address"
"Module version:","Module version:"
"No Automatic Analysis","No Automatic Analysis"
"Non-deliverable Order put on hold","Non-deliverable Order put on hold"
"Non-deliverable Order(s) %1 were put on hold.","Non-deliverable Order(s) %1 were put on hold."
"Not checked","Not checked"
"Not found in reference","Not found in reference"
"Only use the option ""Analysis on order placement"" if problems occur in connection with ""Analysis via Cron"".","Only use the option ""Analysis on order placement"" if problems occur in connection with ""Analysis via Cron""."
"Order address updated with ADDRESSFACTORY DIRECT suggestion","Order address updated with ADDRESSFACTORY DIRECT suggestion"
"Order(s) %1 could not be analysed with ADDRESSFACTORY DIRECT.","Order(s) %1 could not be analysed with ADDRESSFACTORY DIRECT."
"Order(s) %1 could not be updated.","Order(s) %1 could not be updated."
"Order(s) %1 were successfully updated.","Order(s) %1 were successfully updated."
"Other Actions","Other Actions"
Pending,Pending
"Perform Shipping Address Check","Perform Shipping Address Check"
Person,Person
"Possibly deliverable","Possibly deliverable"
"Postal code","Postal code"
"Service exception: %1","Service exception: %1"
"Shipping Address Check","Shipping Address Check"
"Shipping Address Check Status","Shipping Address Check Status"
"Shipping Address Deliverable","Shipping Address Deliverable"
"Shipping Address Possibly Deliverable","Shipping Address Possibly Deliverable"
"Shipping Address Undeliverable","Shipping Address Undeliverable"
"Shipping Address Validation (ADDRESSFACTORY)","Shipping Address Validation (ADDRESSFACTORY)"
Street,Street
"Suggested Shipping Address","Suggested Shipping Address"
"The address will be checked with regards to the format of the address (zipcode, street and city) as well as the probability of a successful delivery to the person at this address.","The address will be checked with regards to the format of the address (zipcode, street and city) as well as the probability of a successful delivery to the person at this address."
"This database is unique in Germany with around 210 million current and former private addresses for validating purposes.","This database is unique in Germany with around 210 million current and former private addresses for validating purposes."
